n:1 mse_avg:2.39 mse_y:3.42 mse_u:0.31 mse_v:0.33 psnr_avg:44.35 psnr_y:42.79 psnr_u:53.25 psnr_v:52.91 
n:2 mse_avg:156.00 mse_y:233.73 mse_u:0.60 mse_v:0.53 psnr_avg:26.20 psnr_y:24.44 psnr_u:50.38 psnr_v:50.92 
n:3 mse_avg:121.06 mse_y:181.29 mse_u:0.62 mse_v:0.57 psnr_avg:27.30 psnr_y:25.55 psnr_u:50.20 psnr_v:50.58 
n:4 mse_avg:153.82 mse_y:230.45 mse_u:0.60 mse_v:0.55 psnr_avg:26.26 psnr_y:24.51 psnr_u:50.34 psnr_v:50.74 
n:5 mse_avg:129.74 mse_y:194.31 mse_u:0.63 mse_v:0.55 psnr_avg:27.00 psnr_y:25.25 psnr_u:50.12 psnr_v:50.71 
n:6 mse_avg:2301.92 mse_y:3445.56 mse_u:13.40 mse_v:15.89 psnr_avg:14.51 psnr_y:12.76 psnr_u:36.86 psnr_v:36.12 
n:7 mse_avg:307.75 mse_y:461.32 mse_u:0.63 mse_v:0.64 psnr_avg:23.25 psnr_y:21.49 psnr_u:50.16 psnr_v:50.07 
n:8 mse_avg:267.19 mse_y:400.49 mse_u:0.57 mse_v:0.61 psnr_avg:23.86 psnr_y:22.10 psnr_u:50.55 psnr_v:50.24 
n:9 mse_avg:113.99 mse_y:170.71 mse_u:0.53 mse_v:0.55 psnr_avg:27.56 psnr_y:25.81 psnr_u:50.89 psnr_v:50.71 
n:10 mse_avg:116.31 mse_y:174.17 mse_u:0.57 mse_v:0.60 psnr_avg:27.47 psnr_y:25.72 psnr_u:50.56 psnr_v:50.33 
n:11 mse_avg:121.43 mse_y:181.85 mse_u:0.57 mse_v:0.60 psnr_avg:27.29 psnr_y:25.53 psnr_u:50.60 psnr_v:50.36 
n:12 mse_avg:167.79 mse_y:251.38 mse_u:0.59 mse_v:0.63 psnr_avg:25.88 psnr_y:24.13 psnr_u:50.44 psnr_v:50.13 
n:13 mse_avg:279.09 mse_y:418.29 mse_u:0.66 mse_v:0.73 psnr_avg:23.67 psnr_y:21.92 psnr_u:49.95 psnr_v:49.47 
